 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 3.00  6000. -0.2  2.0   0.2953
 3.00  6000. -0.2  2.0   0.0114
 3.50  6000. -0.2  2.0   0.2525
 3.50  6000. -0.2  2.0   0.2936
 3.50  6000. -0.2  2.0   0.0099
 4.00  6000. -0.2  2.0   0.2590
 4.00  6000. -0.2  2.0   0.2890
 4.00  6000. -0.2  2.0   0.0089
 4.50  6000. -0.2  2.0   0.2618
 4.50  6000. -0.2  2.0   0.2875
 4.50  6000. -0.2  2.0   0.0085
 5.00  6000. -0.2  2.0   0.2626
 5.00  6000. -0.2  2.0   0.2884
 5.00  6000. -0.2  2.0   0.0084
 0.50  6250. -0.2  2.0   0.3634
 0.50  6250. -0.2  2.0   0.2016
 0.50  6250. -0.2  2.0   0.0063
 1.00  6250. -0.2  2.0   0.3645
 1.00  6250. -0.2  2.0   0.1979
 1.00  6250. -0.2  2.0   0.0061
 1.50  6250. -0.2  2.0   0.3649
 1.50  6250. -0.2  2.0   0.1940
 1.50  6250. -0.2  2.0   0.0061
 2.00  6250. -0.2  2.0   0.2202
 2.00  6250. -0.2  2.0   0.3093
 2.00  6250. -0.2  2.0   0.0157
 2.50  6250. -0.2  2.0   0.2233
 2.50  6250. -0.2  2.0   0.3057
 2.50  6250. -0.2  2.0   0.0146
 3.00  6250. -0.2  2.0   0.2263
 3.00  6250. -0.2  2.0   0.3033
 3.00  6250. -0.2  2.0   0.0130
 3.50  6250. -0.2  2.0   0.2306
 3.50  6250. -0.2  2.0   0.3005
 3.50  6250. -0.2  2.0   0.0112
 4.00  6250. -0.2  2.0   0.2355
 4.00  6250. -0.2  2.0   0.2968
 4.00  6250. -0.2  2.0   0.0100
 4.50  6250. -0.2  2.0   0.2372
 4.50  6250. -0.2  2.0   0.2956
 4.50  6250. -0.2  2.0   0.0096
 5.00  6250. -0.2  2.0   0.2376
 5.00  6250. -0.2  2.0   0.2961
 5.00  6250. -0.2  2.0   0.0094
 0.50  6500. -0.2  2.0   0.3448
 0.50  6500. -0.2  2.0   0.2159
 0.50  6500. -0.2  2.0   0.0067
 1.00  6500. -0.2  2.0   0.3444
 1.00  6500. -0.2  2.0   0.2124
 1.00  6500. -0.2  2.0   0.0063
 1.50  6500. -0.2  2.0   0.3455
 1.50  6500. -0.2  2.0   0.2082
 1.50  6500. -0.2  2.0   0.0060
 2.00  6500. -0.2  2.0   0.3466
 2.00  6500. -0.2  2.0   0.2034
 2.00  6500. -0.2  2.0   0.0058
 2.50  6500. -0.2  2.0   0.2030
 2.50  6500. -0.2  2.0   0.3165
 2.50  6500. -0.2  2.0   0.0154
 3.00  6500. -0.2  2.0   0.2069
 3.00  6500. -0.2  2.0   0.3119
 3.00  6500. -0.2  2.0   0.0141
 3.50  6500. -0.2  2.0   0.2120
 3.50  6500. -0.2  2.0   0.3070
 3.50  6500. -0.2  2.0   0.0125
 4.00  6500. -0.2  2.0   0.2163
 4.00  6500. -0.2  2.0   0.3028
 4.00  6500. -0.2  2.0   0.0112
 4.50  6500. -0.2  2.0   0.2173
 4.50  6500. -0.2  2.0   0.3015
 4.50  6500. -0.2  2.0   0.0106
 5.00  6500. -0.2  2.0   0.2181
 5.00  6500. -0.2  2.0   0.3008
 5.00  6500. -0.2  2.0   0.0102
 0.50  6750. -0.2  2.0   0.3243
 0.50  6750. -0.2  2.0   0.2348
 0.50  6750. -0.2  2.0   0.0072
 1.00  6750. -0.2  2.0   0.3238
 1.00  6750. -0.2  2.0   0.2278
 1.00  6750. -0.2  2.0   0.0070
 1.50  6750. -0.2  2.0   0.3242
 1.50  6750. -0.2  2.0   0.2235
 1.50  6750. -0.2  2.0   0.0064
 2.00  6750. -0.2  2.0   0.3251
 2.00  6750. -0.2  2.0   0.2188
 2.00  6750. -0.2  2.0   0.0059
 2.50  6750. -0.2  2.0   0.3265
 2.50  6750. -0.2  2.0   0.2131
 2.50  6750. -0.2  2.0   0.0057
 3.00  6750. -0.2  2.0   0.1910
 3.00  6750. -0.2  2.0   0.3191
 3.00  6750. -0.2  2.0   0.0148
 3.50  6750. -0.2  2.0   0.1938
 3.50  6750. -0.2  2.0   0.3147
 3.50  6750. -0.2  2.0   0.0137
 4.00  6750. -0.2  2.0   0.1988
 4.00  6750. -0.2  2.0   0.3095
 4.00  6750. -0.2  2.0   0.0123
 4.50  6750. -0.2  2.0   0.2008
 4.50  6750. -0.2  2.0   0.3063
 4.50  6750. -0.2  2.0   0.0115
 5.00  6750. -0.2  2.0   0.2034
 5.00  6750. -0.2  2.0   0.3034
 5.00  6750. -0.2  2.0   0.0108
 0.50  7000. -0.2  2.0   0.3040
 0.50  7000. -0.2  2.0   0.2544
 0.50  7000. -0.2  2.0   0.0080
 1.00  7000. -0.2  2.0   0.3013
 1.00  7000. -0.2  2.0   0.2466
 1.00  7000. -0.2  2.0   0.0079
 1.50  7000. -0.2  2.0   0.3032
 1.50  7000. -0.2  2.0   0.2380
 1.50  7000. -0.2  2.0   0.0074
 2.00  7000. -0.2  2.0   0.3043
 2.00  7000. -0.2  2.0   0.2330
 2.00  7000. -0.2  2.0   0.0066
 2.50  7000. -0.2  2.0   0.3052
 2.50  7000. -0.2  2.0   0.2282
 2.50  7000. -0.2  2.0   0.0059
 3.00  7000. -0.2  2.0   0.3065
 3.00  7000. -0.2  2.0   0.2225
 3.00  7000. -0.2  2.0   0.0056
 3.50  7000. -0.2  2.0   0.1800
 3.50  7000. -0.2  2.0   0.3206
 3.50  7000. -0.2  2.0   0.0144
 4.00  7000. -0.2  2.0   0.1834
 4.00  7000. -0.2  2.0   0.3157
 4.00  7000. -0.2  2.0   0.0133
 4.50  7000. -0.2  2.0   0.1863
 4.50  7000. -0.2  2.0   0.3115
 4.50  7000. -0.2  2.0   0.0124
 5.00  7000. -0.2  2.0   0.1902
 5.00  7000. -0.2  2.0   0.3071
 5.00  7000. -0.2  2.0   0.0114
 0.50  7250. -0.2  2.0   0.2857
 0.50  7250. -0.2  2.0   0.2715
 0.50  7250. -0.2  2.0   0.0092
 1.00  7250. -0.2  2.0   0.2770
 1.00  7250. -0.2  2.0   0.2668
 1.00  7250. -0.2  2.0   0.0094
 1.50  7250. -0.2  2.0   0.2777
 1.50  7250. -0.2  2.0   0.2575
 1.50  7250. -0.2  2.0   0.0087
 2.00  7250. -0.2  2.0   0.2819
 2.00  7250. -0.2  2.0   0.2474
 2.00  7250. -0.2  2.0   0.0079
 2.50  7250. -0.2  2.0   0.2839
 2.50  7250. -0.2  2.0   0.2421
 2.50  7250. -0.2  2.0   0.0067
 3.00  7250. -0.2  2.0   0.2851
 3.00  7250. -0.2  2.0   0.2371
 3.00  7250. -0.2  2.0   0.0060
 3.50  7250. -0.2  2.0   0.2872
 3.50  7250. -0.2  2.0   0.2308
 3.50  7250. -0.2  2.0   0.0055
 4.00  7250. -0.2  2.0   0.1697
 4.00  7250. -0.2  2.0   0.3208
 4.00  7250. -0.2  2.0   0.0142
 4.50  7250. -0.2  2.0   0.1719
 4.50  7250. -0.2  2.0   0.3167
 4.50  7250. -0.2  2.0   0.0133
 5.00  7250. -0.2  2.0   0.1769
 5.00  7250. -0.2  2.0   0.3115
 5.00  7250. -0.2  2.0   0.0121
 0.50  7500. -0.2  2.0   0.2752
 0.50  7500. -0.2  2.0   0.2808
 0.50  7500. -0.2  2.0   0.0103
 1.00  7500. -0.2  2.0   0.2560
 1.00  7500. -0.2  2.0   0.2823
 1.00  7500. -0.2  2.0   0.0113
 1.50  7500. -0.2  2.0   0.2523
 1.50  7500. -0.2  2.0   0.2753
 1.50  7500. -0.2  2.0   0.0107
 2.00  7500. -0.2  2.0   0.2549
 2.00  7500. -0.2  2.0   0.2656
 2.00  7500. -0.2  2.0   0.0096
 2.50  7500. -0.2  2.0   0.2594
 2.50  7500. -0.2  2.0   0.2564
 2.50  7500. -0.2  2.0   0.0083
 3.00  7500. -0.2  2.0   0.2634
 3.00  7500. -0.2  2.0   0.2502
 3.00  7500. -0.2  2.0   0.0070
 3.50  7500. -0.2  2.0   0.2660
 3.50  7500. -0.2  2.0   0.2446
 3.50  7500. -0.2  2.0   0.0061
 4.00  7500. -0.2  2.0   0.2675
 4.00  7500. -0.2  2.0   0.2390
 4.00  7500. -0.2  2.0   0.0056
 4.50  7500. -0.2  2.0   0.1592
 4.50  7500. -0.2  2.0   0.3214
 4.50  7500. -0.2  2.0   0.0141
 5.00  7500. -0.2  2.0   0.1631
 5.00  7500. -0.2  2.0   0.3165
 5.00  7500. -0.2  2.0   0.0130
 1.00  7750. -0.2  2.0   0.2425
 1.00  7750. -0.2  2.0   0.2906
 1.00  7750. -0.2  2.0   0.0129
 1.50  7750. -0.2  2.0   0.2319
 1.50  7750. -0.2  2.0   0.2868
 1.50  7750. -0.2  2.0   0.0128
 2.00  7750. -0.2  2.0   0.2312
 2.00  7750. -0.2  2.0   0.2790
 2.00  7750. -0.2  2.0   0.0117
 2.50  7750. -0.2  2.0   0.2349
 2.50  7750. -0.2  2.0   0.2698
 2.50  7750. -0.2  2.0   0.0103
 3.00  7750. -0.2  2.0   0.2404
 3.00  7750. -0.2  2.0   0.2613
 3.00  7750. -0.2  2.0   0.0088
 3.50  7750. -0.2  2.0   0.2451
 3.50  7750. -0.2  2.0   0.2557
 3.50  7750. -0.2  2.0   0.0072
 4.00  7750. -0.2  2.0   0.2472
 4.00  7750. -0.2  2.0   0.2510
 4.00  7750. -0.2  2.0   0.0063
 4.50  7750. -0.2  2.0   0.1528
 4.50  7750. -0.2  2.0   0.3222
 4.50  7750. -0.2  2.0   0.0137
 5.00  7750. -0.2  2.0   0.1521
 5.00  7750. -0.2  2.0   0.3198
 5.00  7750. -0.2  2.0   0.0134
 1.00  8000. -0.2  2.0   0.2369
 1.00  8000. -0.2  2.0   0.2929
 1.00  8000. -0.2  2.0   0.0137
 1.50  8000. -0.2  2.0   0.2189
 1.50  8000. -0.2  2.0   0.2917
 1.50  8000. -0.2  2.0   0.0144
 2.00  8000. -0.2  2.0   0.2137
 2.00  8000. -0.2  2.0   0.2853
 2.00  8000. -0.2  2.0   0.0136
 2.50  8000. -0.2  2.0   0.2147
 2.50  8000. -0.2  2.0   0.2777
 2.50  8000. -0.2  2.0   0.0122
 3.00  8000. -0.2  2.0   0.2190
 3.00  8000. -0.2  2.0   0.2695
 3.00  8000. -0.2  2.0   0.0108
 3.50  8000. -0.2  2.0   0.2240
 3.50  8000. -0.2  2.0   0.2631
 3.50  8000. -0.2  2.0   0.0092
 4.00  8000. -0.2  2.0   0.2280
 4.00  8000. -0.2  2.0   0.2599
 4.00  8000. -0.2  2.0   0.0075
 4.50  8000. -0.2  2.0   0.2297
 4.50  8000. -0.2  2.0   0.2567
 4.50  8000. -0.2  2.0   0.0064
 5.00  8000. -0.2  2.0   0.1430
 5.00  8000. -0.2  2.0   0.3216
 5.00  8000. -0.2  2.0   0.0136
 1.00  8250. -0.2  2.0   0.2363
 1.00  8250. -0.2  2.0   0.2923
 1.00  8250. -0.2  2.0   0.0140
 1.50  8250. -0.2  2.0   0.2114
 1.50  8250. -0.2  2.0   0.2937
 1.50  8250. -0.2  2.0   0.0153
 2.00  8250. -0.2  2.0   0.2018
 2.00  8250. -0.2  2.0   0.2873
 2.00  8250. -0.2  2.0   0.0147
 2.50  8250. -0.2  2.0   0.1998
 2.50  8250. -0.2  2.0   0.2799
 2.50  8250. -0.2  2.0   0.0136
 3.00  8250. -0.2  2.0   0.2013
 3.00  8250. -0.2  2.0   0.2733
 3.00  8250. -0.2  2.0   0.0122
 3.50  8250. -0.2  2.0   0.2052
 3.50  8250. -0.2  2.0   0.2671
 3.50  8250. -0.2  2.0   0.0109
 4.00  8250. -0.2  2.0   0.2097
 4.00  8250. -0.2  2.0   0.2634
 4.00  8250. -0.2  2.0   0.0092
 4.50  8250. -0.2  2.0   0.2125
 4.50  8250. -0.2  2.0   0.2631
 4.50  8250. -0.2  2.0   0.0076
 5.00  8250. -0.2  2.0   0.2128
 5.00  8250. -0.2  2.0   0.2613
 5.00  8250. -0.2  2.0   0.0066
 1.00  8500. -0.2  2.0   0.2420
 1.00  8500. -0.2  2.0   0.2888
 1.00  8500. -0.2  2.0   0.0134
 1.50  8500. -0.2  2.0   0.2062
 1.50  8500. -0.2  2.0   0.2961
 1.50  8500. -0.2  2.0   0.0158
 2.00  8500. -0.2  2.0   0.1935
 2.00  8500. -0.2  2.0   0.2887
 2.00  8500. -0.2  2.0   0.0155
 2.50  8500. -0.2  2.0   0.1892
 2.50  8500. -0.2  2.0   0.2802
 2.50  8500. -0.2  2.0   0.0144
 3.00  8500. -0.2  2.0   0.1895
 3.00  8500. -0.2  2.0   0.2727
 3.00  8500. -0.2  2.0   0.0131
 3.50  8500. -0.2  2.0   0.1911
 3.50  8500. -0.2  2.0   0.2673
 3.50  8500. -0.2  2.0   0.0119
 4.00  8500. -0.2  2.0   0.1939
 4.00  8500. -0.2  2.0   0.2632
 4.00  8500. -0.2  2.0   0.0107
 4.50  8500. -0.2  2.0   0.1971
 4.50  8500. -0.2  2.0   0.2629
 4.50  8500. -0.2  2.0   0.0091
 5.00  8500. -0.2  2.0   0.1986
 5.00  8500. -0.2  2.0   0.2646
 5.00  8500. -0.2  2.0   0.0076
 1.50  8750. -0.2  2.0   0.2026
 1.50  8750. -0.2  2.0   0.2986
 1.50  8750. -0.2  2.0   0.0161
 2.00  8750. -0.2  2.0   0.1875
 2.00  8750. -0.2  2.0   0.2905
 2.00  8750. -0.2  2.0   0.0161
 2.50  8750. -0.2  2.0   0.1815
 2.50  8750. -0.2  2.0   0.2807
 2.50  8750. -0.2  2.0   0.0150
 3.00  8750. -0.2  2.0   0.1795
 3.00  8750. -0.2  2.0   0.2729
 3.00  8750. -0.2  2.0   0.0136
 3.50  8750. -0.2  2.0   0.1798
 3.50  8750. -0.2  2.0   0.2669
 3.50  8750. -0.2  2.0   0.0124
 4.00  8750. -0.2  2.0   0.1815
 4.00  8750. -0.2  2.0   0.2622
 4.00  8750. -0.2  2.0   0.0114
 4.50  8750. -0.2  2.0   0.1831
 4.50  8750. -0.2  2.0   0.2602
 4.50  8750. -0.2  2.0   0.0104
 5.00  8750. -0.2  2.0   0.1848
 5.00  8750. -0.2  2.0   0.2642
 5.00  8750. -0.2  2.0   0.0088
 1.50  9000. -0.2  2.0   0.1992
 1.50  9000. -0.2  2.0   0.3020
 1.50  9000. -0.2  2.0   0.0163
 2.00  9000. -0.2  2.0   0.1822
 2.00  9000. -0.2  2.0   0.2927
 2.00  9000. -0.2  2.0   0.0167
 2.50  9000. -0.2  2.0   0.1752
 2.50  9000. -0.2  2.0   0.2817
 2.50  9000. -0.2  2.0   0.0155
 3.00  9000. -0.2  2.0   0.1726
 3.00  9000. -0.2  2.0   0.2726
 3.00  9000. -0.2  2.0   0.0141
 3.50  9000. -0.2  2.0   0.1716
 3.50  9000. -0.2  2.0   0.2661
 3.50  9000. -0.2  2.0   0.0129
 4.00  9000. -0.2  2.0   0.1718
 4.00  9000. -0.2  2.0   0.2614
 4.00  9000. -0.2  2.0   0.0118
 4.50  9000. -0.2  2.0   0.1737
 4.50  9000. -0.2  2.0   0.2571
 4.50  9000. -0.2  2.0   0.0110
 5.00  9000. -0.2  2.0   0.1769
 5.00  9000. -0.2  2.0   0.2531
 5.00  9000. -0.2  2.0   0.0103
 2.00  9250. -0.2  2.0   0.1763
 2.00  9250. -0.2  2.0   0.2962
 2.00  9250. -0.2  2.0   0.0172
 2.50  9250. -0.2  2.0   0.1694
 2.50  9250. -0.2  2.0   0.2832
 2.50  9250. -0.2  2.0   0.0159
 3.00  9250. -0.2  2.0   0.1669
 3.00  9250. -0.2  2.0   0.2725
 3.00  9250. -0.2  2.0   0.0145
 3.50  9250. -0.2  2.0   0.1649
 3.50  9250. -0.2  2.0   0.2658
 3.50  9250. -0.2  2.0   0.0133
 4.00  9250. -0.2  2.0   0.1647
 4.00  9250. -0.2  2.0   0.2604
 4.00  9250. -0.2  2.0   0.0123
 4.50  9250. -0.2  2.0   0.1653
 4.50  9250. -0.2  2.0   0.2560
 4.50  9250. -0.2  2.0   0.0114
 5.00  9250. -0.2  2.0   0.1665
 5.00  9250. -0.2  2.0   0.2525
 5.00  9250. -0.2  2.0   0.0108
 2.00  9500. -0.2  2.0   0.1704
 2.00  9500. -0.2  2.0   0.2997
 2.00  9500. -0.2  2.0   0.0177
 2.50  9500. -0.2  2.0   0.1641
 2.50  9500. -0.2  2.0   0.2847
 2.50  9500. -0.2  2.0   0.0164
 3.00  9500. -0.2  2.0   0.1615
 3.00  9500. -0.2  2.0   0.2727
 3.00  9500. -0.2  2.0   0.0148
 3.50  9500. -0.2  2.0   0.1599
 3.50  9500. -0.2  2.0   0.2649
 3.50  9500. -0.2  2.0   0.0136
 4.00  9500. -0.2  2.0   0.1589
 4.00  9500. -0.2  2.0   0.2595
 4.00  9500. -0.2  2.0   0.0126
 4.50  9500. -0.2  2.0   0.1579
 4.50  9500. -0.2  2.0   0.2557
 4.50  9500. -0.2  2.0   0.0118
 5.00  9500. -0.2  2.0   0.1582
 5.00  9500. -0.2  2.0   0.2520
 5.00  9500. -0.2  2.0   0.0111
 2.00  9750. -0.2  2.0   0.1651
 2.00  9750. -0.2  2.0   0.3023
 2.00  9750. -0.2  2.0   0.0185
 2.50  9750. -0.2  2.0   0.1582
 2.50  9750. -0.2  2.0   0.2866
 2.50  9750. -0.2  2.0   0.0169
 3.00  9750. -0.2  2.0   0.1561
 3.00  9750. -0.2  2.0   0.2735
 3.00  9750. -0.2  2.0   0.0151
 3.50  9750. -0.2  2.0   0.1546
 3.50  9750. -0.2  2.0   0.2647
 3.50  9750. -0.2  2.0   0.0137
 4.00  9750. -0.2  2.0   0.1539
 4.00  9750. -0.2  2.0   0.2584
 4.00  9750. -0.2  2.0   0.0128
 4.50  9750. -0.2  2.0   0.1525
 4.50  9750. -0.2  2.0   0.2547
 4.50  9750. -0.2  2.0   0.0121
 5.00  9750. -0.2  2.0   0.1516
 5.00  9750. -0.2  2.0   0.2515
 5.00  9750. -0.2  2.0   0.0115
 2.00 10000. -0.2  2.0   0.1590
 2.00 10000. -0.2  2.0   0.3054
 2.00 10000. -0.2  2.0   0.0192
 2.50 10000. -0.2  2.0   0.1522
 2.50 10000. -0.2  2.0   0.2886
 2.50 10000. -0.2  2.0   0.0174
 3.00 10000. -0.2  2.0   0.1510
 3.00 10000. -0.2  2.0   0.2740
 3.00 10000. -0.2  2.0   0.0154
 3.50 10000. -0.2  2.0   0.1500
 3.50 10000. -0.2  2.0   0.2642
 3.50 10000. -0.2  2.0   0.0138
 4.00 10000. -0.2  2.0   0.1494
 4.00 10000. -0.2  2.0   0.2575
 4.00 10000. -0.2  2.0   0.0129
 4.50 10000. -0.2  2.0   0.1472
 4.50 10000. -0.2  2.0   0.2543
 4.50 10000. -0.2  2.0   0.0123
 5.00 10000. -0.2  2.0   0.1464
 5.00 10000. -0.2  2.0   0.2507
 5.00 10000. -0.2  2.0   0.0118
 2.00 10500. -0.2  2.0   0.1488
 2.00 10500. -0.2  2.0   0.3089
 2.00 10500. -0.2  2.0   0.0208
 2.50 10500. -0.2  2.0   0.1411
 2.50 10500. -0.2  2.0   0.2906
 2.50 10500. -0.2  2.0   0.0186
 3.00 10500. -0.2  2.0   0.1406
 3.00 10500. -0.2  2.0   0.2747
 3.00 10500. -0.2  2.0   0.0161
 3.50 10500. -0.2  2.0   0.1412
 3.50 10500. -0.2  2.0   0.2631
 3.50 10500. -0.2  2.0   0.0141
 4.00 10500. -0.2  2.0   0.1412
 4.00 10500. -0.2  2.0   0.2557
 4.00 10500. -0.2  2.0   0.0130
 4.50 10500. -0.2  2.0   0.1397
 4.50 10500. -0.2  2.0   0.2515
 4.50 10500. -0.2  2.0   0.0124
 5.00 10500. -0.2  2.0   0.1375
 5.00 10500. -0.2  2.0   0.2490
 5.00 10500. -0.2  2.0   0.0120
 2.50 11000. -0.2  2.0   0.1315
 2.50 11000. -0.2  2.0   0.2908
 2.50 11000. -0.2  2.0   0.0198
 3.00 11000. -0.2  2.0   0.1314
 3.00 11000. -0.2  2.0   0.2732
 3.00 11000. -0.2  2.0   0.0168
 3.50 11000. -0.2  2.0   0.1327
 3.50 11000. -0.2  2.0   0.2610
 3.50 11000. -0.2  2.0   0.0144
 4.00 11000. -0.2  2.0   0.1337
 4.00 11000. -0.2  2.0   0.2529
 4.00 11000. -0.2  2.0   0.0130
 4.50 11000. -0.2  2.0   0.1331
 4.50 11000. -0.2  2.0   0.2483
 4.50 11000. -0.2  2.0   0.0123
 5.00 11000. -0.2  2.0   0.1309
 5.00 11000. -0.2  2.0   0.2459
 5.00 11000. -0.2  2.0   0.0120
 2.50 11500. -0.2  2.0   0.1241
 2.50 11500. -0.2  2.0   0.2896
 2.50 11500. -0.2  2.0   0.0209
 3.00 11500. -0.2  2.0   0.1234
 3.00 11500. -0.2  2.0   0.2705
 3.00 11500. -0.2  2.0   0.0174
 3.50 11500. -0.2  2.0   0.1251
 3.50 11500. -0.2  2.0   0.2576
 3.50 11500. -0.2  2.0   0.0146
 4.00 11500. -0.2  2.0   0.1268
 4.00 11500. -0.2  2.0   0.2492
 4.00 11500. -0.2  2.0   0.0129
 4.50 11500. -0.2  2.0   0.1275
 4.50 11500. -0.2  2.0   0.2439
 4.50 11500. -0.2  2.0   0.0121
 5.00 11500. -0.2  2.0   0.1263
 5.00 11500. -0.2  2.0   0.2410
 5.00 11500. -0.2  2.0   0.0118
 2.50 12000. -0.2  2.0   0.1181
 2.50 12000. -0.2  2.0   0.2889
 2.50 12000. -0.2  2.0   0.0219
 3.00 12000. -0.2  2.0   0.1167
 3.00 12000. -0.2  2.0   0.2677
 3.00 12000. -0.2  2.0   0.0179
 3.50 12000. -0.2  2.0   0.1186
 3.50 12000. -0.2  2.0   0.2533
 3.50 12000. -0.2  2.0   0.0149
 4.00 12000. -0.2  2.0   0.1208
 4.00 12000. -0.2  2.0   0.2446
 4.00 12000. -0.2  2.0   0.0129
 4.50 12000. -0.2  2.0   0.1219
 4.50 12000. -0.2  2.0   0.2395
 4.50 12000. -0.2  2.0   0.0119
 5.00 12000. -0.2  2.0   0.1217
 5.00 12000. -0.2  2.0   0.2363
 5.00 12000. -0.2  2.0   0.0114
 2.50 12500. -0.2  2.0   0.1140
 2.50 12500. -0.2  2.0   0.2882
 2.50 12500. -0.2  2.0   0.0228
 3.00 12500. -0.2  2.0   0.1112
 3.00 12500. -0.2  2.0   0.2651
 3.00 12500. -0.2  2.0   0.0184
 3.50 12500. -0.2  2.0   0.1132
 3.50 12500. -0.2  2.0   0.2491
 3.50 12500. -0.2  2.0   0.0150
 4.00 12500. -0.2  2.0   0.1150
 4.00 12500. -0.2  2.0   0.2402
 4.00 12500. -0.2  2.0   0.0129
 4.50 12500. -0.2  2.0   0.1167
 4.50 12500. -0.2  2.0   0.2349
 4.50 12500. -0.2  2.0   0.0117
 5.00 12500. -0.2  2.0   0.1170
 5.00 12500. -0.2  2.0   0.2321
 5.00 12500. -0.2  2.0   0.0112
 2.50 13000. -0.2  2.0   0.1100
 2.50 13000. -0.2  2.0   0.2889
 2.50 13000. -0.2  2.0   0.0236
 3.00 13000. -0.2  2.0   0.1071
 3.00 13000. -0.2  2.0   0.2628
 3.00 13000. -0.2  2.0   0.0190
 3.50 13000. -0.2  2.0   0.1084
 3.50 13000. -0.2  2.0   0.2455
 3.50 13000. -0.2  2.0   0.0152
 4.00 13000. -0.2  2.0   0.1104
 4.00 13000. -0.2  2.0   0.2355
 4.00 13000. -0.2  2.0   0.0128
 4.50 13000. -0.2  2.0   0.1119
 4.50 13000. -0.2  2.0   0.2303
 4.50 13000. -0.2  2.0   0.0116
 5.00 13000. -0.2  2.0   0.1124
 5.00 13000. -0.2  2.0   0.2278
 5.00 13000. -0.2  2.0   0.0109
 2.00 14000. -0.2  2.0   0.1319
 2.00 14000. -0.2  2.0   0.3214
 2.00 14000. -0.2  2.0   0.0257
 2.50 14000. -0.2  2.0   0.1044
 2.50 14000. -0.2  2.0   0.2913
 2.50 14000. -0.2  2.0   0.0251
 3.00 14000. -0.2  2.0   0.1001
 3.00 14000. -0.2  2.0   0.2609
 3.00 14000. -0.2  2.0   0.0201
 3.50 14000. -0.2  2.0   0.1009
 3.50 14000. -0.2  2.0   0.2399
 3.50 14000. -0.2  2.0   0.0157
 4.00 14000. -0.2  2.0   0.1026
 4.00 14000. -0.2  2.0   0.2277
 4.00 14000. -0.2  2.0   0.0129
 4.50 14000. -0.2  2.0   0.1042
 4.50 14000. -0.2  2.0   0.2213
 4.50 14000. -0.2  2.0   0.0114
 5.00 14000. -0.2  2.0   0.1044
 5.00 14000. -0.2  2.0   0.2192
 5.00 14000. -0.2  2.0   0.0105
 2.50 15000. -0.2  2.0   0.1014
 2.50 15000. -0.2  2.0   0.2946
 2.50 15000. -0.2  2.0   0.0264
 3.00 15000. -0.2  2.0   0.0949
 3.00 15000. -0.2  2.0   0.2607
 3.00 15000. -0.2  2.0   0.0211
 3.50 15000. -0.2  2.0   0.0953
 3.50 15000. -0.2  2.0   0.2363
 3.50 15000. -0.2  2.0   0.0162
 4.00 15000. -0.2  2.0   0.0973
 4.00 15000. -0.2  2.0   0.2211
 4.00 15000. -0.2  2.0   0.0130
 4.50 15000. -0.2  2.0   0.0984
 4.50 15000. -0.2  2.0   0.2135
 4.50 15000. -0.2  2.0   0.0113
 5.00 15000. -0.2  2.0   0.0984
 5.00 15000. -0.2  2.0   0.2107
 5.00 15000. -0.2  2.0   0.0104
 2.50 16000. -0.2  2.0   0.1000
 2.50 16000. -0.2  2.0   0.2990
 2.50 16000. -0.2  2.0   0.0275
 3.00 16000. -0.2  2.0   0.0908
 3.00 16000. -0.2  2.0   0.2619
 3.00 16000. -0.2  2.0   0.0221
 3.50 16000. -0.2  2.0   0.0912
 3.50 16000. -0.2  2.0   0.2340
 3.50 16000. -0.2  2.0   0.0167
 4.00 16000. -0.2  2.0   0.0930
 4.00 16000. -0.2  2.0   0.2166
 4.00 16000. -0.2  2.0   0.0131
 4.50 16000. -0.2  2.0   0.0939
 4.50 16000. -0.2  2.0   0.2074
 4.50 16000. -0.2  2.0   0.0111
 5.00 16000. -0.2  2.0   0.0937
 5.00 16000. -0.2  2.0   0.2036
 5.00 16000. -0.2  2.0   0.0101
 2.50 17000. -0.2  2.0   0.1001
 2.50 17000. -0.2  2.0   0.3051
 2.50 17000. -0.2  2.0   0.0285
 3.00 17000. -0.2  2.0   0.0876
 3.00 17000. -0.2  2.0   0.2643
 3.00 17000. -0.2  2.0   0.0234
 3.50 17000. -0.2  2.0   0.0873
 3.50 17000. -0.2  2.0   0.2335
 3.50 17000. -0.2  2.0   0.0173
 4.00 17000. -0.2  2.0   0.0891
 4.00 17000. -0.2  2.0   0.2137
 4.00 17000. -0.2  2.0   0.0133
 4.50 17000. -0.2  2.0   0.0905
 4.50 17000. -0.2  2.0   0.2025
 4.50 17000. -0.2  2.0   0.0111
 5.00 17000. -0.2  2.0   0.0901
 5.00 17000. -0.2  2.0   0.1978
 5.00 17000. -0.2  2.0   0.0099
 2.50 18000. -0.2  2.0   0.1003
 2.50 18000. -0.2  2.0   0.3142
 2.50 18000. -0.2  2.0   0.0293
 3.00 18000. -0.2  2.0   0.0845
 3.00 18000. -0.2  2.0   0.2685
 3.00 18000. -0.2  2.0   0.0248
 3.50 18000. -0.2  2.0   0.0840
 3.50 18000. -0.2  2.0   0.2338
 3.50 18000. -0.2  2.0   0.0182
 4.00 18000. -0.2  2.0   0.0859
 4.00 18000. -0.2  2.0   0.2118
 4.00 18000. -0.2  2.0   0.0136
 4.50 18000. -0.2  2.0   0.0869
