 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 1.00  5750. -5.0  2.0   0.0097
 1.50  5750. -5.0  2.0   0.2694
 1.50  5750. -5.0  2.0   0.2618
 1.50  5750. -5.0  2.0   0.0093
 2.00  5750. -5.0  2.0   0.2590
 2.00  5750. -5.0  2.0   0.2710
 2.00  5750. -5.0  2.0   0.0090
 2.50  5750. -5.0  2.0   0.2470
 2.50  5750. -5.0  2.0   0.2819
 2.50  5750. -5.0  2.0   0.0086
 3.00  5750. -5.0  2.0   0.2357
 3.00  5750. -5.0  2.0   0.2921
 3.00  5750. -5.0  2.0   0.0083
 3.50  5750. -5.0  2.0   0.2233
 3.50  5750. -5.0  2.0   0.3027
 3.50  5750. -5.0  2.0   0.0083
 4.00  5750. -5.0  2.0   0.2119
 4.00  5750. -5.0  2.0   0.3115
 4.00  5750. -5.0  2.0   0.0090
 4.50  5750. -5.0  2.0   0.1943
 4.50  5750. -5.0  2.0   0.3233
 4.50  5750. -5.0  2.0   0.0114
 5.00  5750. -5.0  2.0   0.1714
 5.00  5750. -5.0  2.0   0.3377
 5.00  5750. -5.0  2.0   0.0152
 0.00  6000. -5.0  2.0   0.4075
 0.00  6000. -5.0  2.0   0.1565
 0.00  6000. -5.0  2.0   0.0029
 0.50  6000. -5.0  2.0   0.4104
 0.50  6000. -5.0  2.0   0.1455
 0.50  6000. -5.0  2.0   0.0022
 1.00  6000. -5.0  2.0   0.2857
 1.00  6000. -5.0  2.0   0.2457
 1.00  6000. -5.0  2.0   0.0076
 1.50  6000. -5.0  2.0   0.2555
 1.50  6000. -5.0  2.0   0.2692
 1.50  6000. -5.0  2.0   0.0093
 2.00  6000. -5.0  2.0   0.2501
 2.00  6000. -5.0  2.0   0.2731
 2.00  6000. -5.0  2.0   0.0089
 2.50  6000. -5.0  2.0   0.2438
 2.50  6000. -5.0  2.0   0.2784
 2.50  6000. -5.0  2.0   0.0081
 3.00  6000. -5.0  2.0   0.2361
 3.00  6000. -5.0  2.0   0.2850
 3.00  6000. -5.0  2.0   0.0076
 3.50  6000. -5.0  2.0   0.2260
 3.50  6000. -5.0  2.0   0.2940
 3.50  6000. -5.0  2.0   0.0073
 4.00  6000. -5.0  2.0   0.2200
 4.00  6000. -5.0  2.0   0.2992
 4.00  6000. -5.0  2.0   0.0070
 4.50  6000. -5.0  2.0   0.2074
 4.50  6000. -5.0  2.0   0.3077
 4.50  6000. -5.0  2.0   0.0082
 5.00  6000. -5.0  2.0   0.1875
 5.00  6000. -5.0  2.0   0.3218
 5.00  6000. -5.0  2.0   0.0107
 0.50  6250. -5.0  2.0   0.3928
 0.50  6250. -5.0  2.0   0.1624
 0.50  6250. -5.0  2.0   0.0024
 1.00  6250. -5.0  2.0   0.3965
 1.00  6250. -5.0  2.0   0.1508
 1.00  6250. -5.0  2.0   0.0018
 1.50  6250. -5.0  2.0   0.2626
 1.50  6250. -5.0  2.0   0.2593
 1.50  6250. -5.0  2.0   0.0076
 2.00  6250. -5.0  2.0   0.2398
 2.00  6250. -5.0  2.0   0.2770
 2.00  6250. -5.0  2.0   0.0083
 2.50  6250. -5.0  2.0   0.2372
 2.50  6250. -5.0  2.0   0.2784
 2.50  6250. -5.0  2.0   0.0076
 3.00  6250. -5.0  2.0   0.2328
 3.00  6250. -5.0  2.0   0.2818
 3.00  6250. -5.0  2.0   0.0070
 3.50  6250. -5.0  2.0   0.2272
 3.50  6250. -5.0  2.0   0.2867
 3.50  6250. -5.0  2.0   0.0064
 4.00  6250. -5.0  2.0   0.2206
 4.00  6250. -5.0  2.0   0.2922
 4.00  6250. -5.0  2.0   0.0063
 4.50  6250. -5.0  2.0   0.2086
 4.50  6250. -5.0  2.0   0.3012
 4.50  6250. -5.0  2.0   0.0073
 5.00  6250. -5.0  2.0   0.1987
 5.00  6250. -5.0  2.0   0.3080
 5.00  6250. -5.0  2.0   0.0081
 0.50  6500. -5.0  2.0   0.3718
 0.50  6500. -5.0  2.0   0.1838
 0.50  6500. -5.0  2.0   0.0031
 1.00  6500. -5.0  2.0   0.3759
 1.00  6500. -5.0  2.0   0.1699
 1.00  6500. -5.0  2.0   0.0021
 1.50  6500. -5.0  2.0   0.3795
 1.50  6500. -5.0  2.0   0.1582
 1.50  6500. -5.0  2.0   0.0015
 2.00  6500. -5.0  2.0   0.2402
 2.00  6500. -5.0  2.0   0.2707
 2.00  6500. -5.0  2.0   0.0079
 2.50  6500. -5.0  2.0   0.2224
 2.50  6500. -5.0  2.0   0.2846
 2.50  6500. -5.0  2.0   0.0080
 3.00  6500. -5.0  2.0   0.2243
 3.00  6500. -5.0  2.0   0.2822
 3.00  6500. -5.0  2.0   0.0070
 3.50  6500. -5.0  2.0   0.2226
 3.50  6500. -5.0  2.0   0.2840
 3.50  6500. -5.0  2.0   0.0062
 4.00  6500. -5.0  2.0   0.2194
 4.00  6500. -5.0  2.0   0.2867
 4.00  6500. -5.0  2.0   0.0058
 4.50  6500. -5.0  2.0   0.2135
 4.50  6500. -5.0  2.0   0.2913
 4.50  6500. -5.0  2.0   0.0059
 5.00  6500. -5.0  2.0   0.2020
 5.00  6500. -5.0  2.0   0.2997
 5.00  6500. -5.0  2.0   0.0069
 0.50  6750. -5.0  2.0   0.3468
 0.50  6750. -5.0  2.0   0.2108
 0.50  6750. -5.0  2.0   0.0041
 1.00  6750. -5.0  2.0   0.3513
 1.00  6750. -5.0  2.0   0.1930
 1.00  6750. -5.0  2.0   0.0030
 1.50  6750. -5.0  2.0   0.3566
 1.50  6750. -5.0  2.0   0.1785
 1.50  6750. -5.0  2.0   0.0019
 2.00  6750. -5.0  2.0   0.3620
 2.00  6750. -5.0  2.0   0.1651
 2.00  6750. -5.0  2.0   0.0013
 2.50  6750. -5.0  2.0   0.2205
 2.50  6750. -5.0  2.0   0.2797
 2.50  6750. -5.0  2.0   0.0080
 3.00  6750. -5.0  2.0   0.2103
 3.00  6750. -5.0  2.0   0.2885
 3.00  6750. -5.0  2.0   0.0073
 3.50  6750. -5.0  2.0   0.2133
 3.50  6750. -5.0  2.0   0.2856
 3.50  6750. -5.0  2.0   0.0064
 4.00  6750. -5.0  2.0   0.2133
 4.00  6750. -5.0  2.0   0.2856
 4.00  6750. -5.0  2.0   0.0058
 4.50  6750. -5.0  2.0   0.2115
 4.50  6750. -5.0  2.0   0.2870
 4.50  6750. -5.0  2.0   0.0056
 5.00  6750. -5.0  2.0   0.2047
 5.00  6750. -5.0  2.0   0.2920
 5.00  6750. -5.0  2.0   0.0059
 0.50  7000. -5.0  2.0   0.3182
 0.50  7000. -5.0  2.0   0.2418
 0.50  7000. -5.0  2.0   0.0053
 1.00  7000. -5.0  2.0   0.3227
 1.00  7000. -5.0  2.0   0.2209
 1.00  7000. -5.0  2.0   0.0043
 1.50  7000. -5.0  2.0   0.3303
 1.50  7000. -5.0  2.0   0.2012
 1.50  7000. -5.0  2.0   0.0029
 2.00  7000. -5.0  2.0   0.3376
 2.00  7000. -5.0  2.0   0.1859
 2.00  7000. -5.0  2.0   0.0018
 2.50  7000. -5.0  2.0   0.3438
 2.50  7000. -5.0  2.0   0.1728
 2.50  7000. -5.0  2.0   0.0011
 3.00  7000. -5.0  2.0   0.2049
 3.00  7000. -5.0  2.0   0.2867
 3.00  7000. -5.0  2.0   0.0076
 3.50  7000. -5.0  2.0   0.2007
 3.50  7000. -5.0  2.0   0.2904
 3.50  7000. -5.0  2.0   0.0068
 4.00  7000. -5.0  2.0   0.2036
 4.00  7000. -5.0  2.0   0.2879
 4.00  7000. -5.0  2.0   0.0061
 4.50  7000. -5.0  2.0   0.2052
 4.50  7000. -5.0  2.0   0.2865
 4.50  7000. -5.0  2.0   0.0056
 5.00  7000. -5.0  2.0   0.2013
 5.00  7000. -5.0  2.0   0.2894
 5.00  7000. -5.0  2.0   0.0056
 1.00  7250. -5.0  2.0   0.2912
 1.00  7250. -5.0  2.0   0.2511
 1.00  7250. -5.0  2.0   0.0062
 1.50  7250. -5.0  2.0   0.3000
 1.50  7250. -5.0  2.0   0.2279
 1.50  7250. -5.0  2.0   0.0045
 2.00  7250. -5.0  2.0   0.3093
 2.00  7250. -5.0  2.0   0.2085
 2.00  7250. -5.0  2.0   0.0029
 2.50  7250. -5.0  2.0   0.3189
 2.50  7250. -5.0  2.0   0.1932
 2.50  7250. -5.0  2.0   0.0017
 3.00  7250. -5.0  2.0   0.3257
 3.00  7250. -5.0  2.0   0.1809
 3.00  7250. -5.0  2.0   0.0011
 3.50  7250. -5.0  2.0   0.1904
 3.50  7250. -5.0  2.0   0.2927
 3.50  7250. -5.0  2.0   0.0077
 4.00  7250. -5.0  2.0   0.1907
 4.00  7250. -5.0  2.0   0.2928
 4.00  7250. -5.0  2.0   0.0067
 4.50  7250. -5.0  2.0   0.1954
 4.50  7250. -5.0  2.0   0.2891
 4.50  7250. -5.0  2.0   0.0060
 5.00  7250. -5.0  2.0   0.1946
 5.00  7250. -5.0  2.0   0.2894
 5.00  7250. -5.0  2.0   0.0057
 1.00  7500. -5.0  2.0   0.2627
 1.00  7500. -5.0  2.0   0.2762
 1.00  7500. -5.0  2.0   0.0086
 1.50  7500. -5.0  2.0   0.2682
 1.50  7500. -5.0  2.0   0.2551
 1.50  7500. -5.0  2.0   0.0067
 2.00  7500. -5.0  2.0   0.2790
 2.00  7500. -5.0  2.0   0.2324
 2.00  7500. -5.0  2.0   0.0047
 2.50  7500. -5.0  2.0   0.2901
 2.50  7500. -5.0  2.0   0.2142
 2.50  7500. -5.0  2.0   0.0030
 3.00  7500. -5.0  2.0   0.3006
 3.00  7500. -5.0  2.0   0.2004
 3.00  7500. -5.0  2.0   0.0017
 3.50  7500. -5.0  2.0   0.3075
 3.50  7500. -5.0  2.0   0.1898
 3.50  7500. -5.0  2.0   0.0012
 4.00  7500. -5.0  2.0   0.1855
 4.00  7500. -5.0  2.0   0.2931
 4.00  7500. -5.0  2.0   0.0065
 4.50  7500. -5.0  2.0   0.1842
 4.50  7500. -5.0  2.0   0.2930
 4.50  7500. -5.0  2.0   0.0065
 5.00  7500. -5.0  2.0   0.1846
 5.00  7500. -5.0  2.0   0.2924
 5.00  7500. -5.0  2.0   0.0062
 1.50  7750. -5.0  2.0   0.2396
 1.50  7750. -5.0  2.0   0.2772
 1.50  7750. -5.0  2.0   0.0094
 2.00  7750. -5.0  2.0   0.2484
 2.00  7750. -5.0  2.0   0.2558
 2.00  7750. -5.0  2.0   0.0070
 2.50  7750. -5.0  2.0   0.2602
 2.50  7750. -5.0  2.0   0.2351
 2.50  7750. -5.0  2.0   0.0048
 3.00  7750. -5.0  2.0   0.2728
 3.00  7750. -5.0  2.0   0.2190
 3.00  7750. -5.0  2.0   0.0031
 3.50  7750. -5.0  2.0   0.2830
 3.50  7750. -5.0  2.0   0.2078
 3.50  7750. -5.0  2.0   0.0019
 4.00  7750. -5.0  2.0   0.2891
 4.00  7750. -5.0  2.0   0.1994
 4.00  7750. -5.0  2.0   0.0013
 4.50  7750. -5.0  2.0   0.1719
 4.50  7750. -5.0  2.0   0.2978
 4.50  7750. -5.0  2.0   0.0072
 5.00  7750. -5.0  2.0   0.1734
 5.00  7750. -5.0  2.0   0.2964
 5.00  7750. -5.0  2.0   0.0068
 1.50  8000. -5.0  2.0   0.2175
 1.50  8000. -5.0  2.0   0.2918
 1.50  8000. -5.0  2.0   0.0121
 2.00  8000. -5.0  2.0   0.2221
 2.00  8000. -5.0  2.0   0.2735
 2.00  8000. -5.0  2.0   0.0096
 2.50  8000. -5.0  2.0   0.2325
 2.50  8000. -5.0  2.0   0.2540
 2.50  8000. -5.0  2.0   0.0070
